area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
6000,3,2,4,1,0,0,0,1,1,0,True,False,False
7200,3,2,1,1,0,1,0,1,3,0,False,True,False
3816,2,1,1,1,0,1,0,1,2,0,True,False,False
2610,3,1,2,1,0,1,0,0,0,1,False,False,True
3750,3,1,2,1,0,0,0,0,0,0,False,False,True
5010,3,1,2,1,0,1,0,0,0,0,False,True,False
3850,3,1,2,1,0,0,0,0,0,0,False,False,True
5076,3,1,1,0,0,0,0,0,0,0,False,False,True
3180,3,1,1,0,0,0,0,0,0,0,False,False,True
6020,3,1,1,1,0,0,0,0,0,0,False,True,False
3120,3,1,2,0,0,1,1,0,0,0,False,True,False
7700,2,1,1,1,0,0,0,0,0,0,False,False,True
7000,3,1,1,1,0,0,0,0,3,0,True,False,False
3570,3,1,2,1,0,1,0,0,0,0,False,True,False
3000,2,1,2,1,0,0,0,1,0,0,True,False,False
6450,3,2,1,1,1,1,1,0,0,0,False,False,True
2400,3,1,1,0,0,0,0,0,0,0,False,True,False
5300,4,2,1,1,0,0,0,1,0,1,False,False,True
7424,3,1,1,0,0,0,0,0,0,0,False,False,True
12090,4,2,2,1,0,0,0,0,2,1,True,False,False
7260,3,2,1,1,1,1,0,0,3,0,True,False,False
3000,3,1,2,1,0,0,0,0,0,0,False,True,False
5200,3,1,3,1,0,0,0,1,0,0,False,True,False
8400,3,1,2,1,1,1,0,1,2,1,False,False,True
6525,3,2,4,1,0,0,0,0,1,0,True,False,False
3650,3,1,2,1,0,0,0,0,0,0,False,False,True
3635,2,1,1,0,0,0,0,0,0,0,False,False,True
4000,3,1,1,1,0,0,0,0,0,0,False,True,False
4600,2,2,1,1,0,0,0,1,2,0,False,True,False
5640,2,1,1,0,0,0,0,0,0,0,False,True,False
3520,3,1,2,1,0,0,0,0,0,1,False,True,False
1836,2,1,1,0,0,1,0,0,0,0,False,True,False
3150,3,1,2,1,0,1,0,0,0,0,True,False,False
5680,3,1,2,1,1,0,0,1,1,0,False,True,False
2145,3,1,3,1,0,0,0,0,1,1,False,False,True
8100,2,1,1,1,0,0,0,0,1,0,False,False,True
3930,2,1,1,0,0,0,0,0,0,0,False,False,True
6420,3,2,2,1,0,0,0,1,1,1,False,True,False
4130,3,2,2,1,0,0,0,0,2,0,False,True,False
11440,4,1,2,1,0,1,0,0,1,1,False,True,False
9667,4,2,2,1,1,1,0,0,1,0,False,True,False
10360,2,1,1,1,0,0,0,0,1,1,False,True,False
5960,3,1,2,1,1,1,0,0,0,0,False,False,True
2880,3,1,2,1,0,0,0,0,0,1,False,True,False
6360,2,1,2,1,0,0,0,0,0,0,False,False,True
3480,3,1,2,0,0,0,0,0,1,0,False,True,False
8100,4,1,4,1,0,1,0,1,2,0,False,True,False
6540,4,2,2,1,1,1,0,1,2,1,True,False,False
2787,3,1,1,1,0,1,0,0,0,1,True,False,False
6480,3,2,4,1,0,0,0,1,2,0,False,False,True
3600,6,1,2,1,0,0,0,0,1,0,False,False,True
3185,2,1,1,1,0,1,0,0,2,0,True,False,False
4410,4,3,2,1,0,1,0,0,2,0,False,True,False
9000,3,1,2,1,0,0,0,0,2,0,False,True,False
3650,3,2,2,1,0,0,0,0,2,0,False,True,False
7160,3,1,1,1,0,1,0,0,2,1,False,False,True
3584,2,1,1,1,0,0,1,0,0,0,False,True,False
4280,2,1,1,1,0,0,0,1,2,0,False,True,False
7000,3,1,4,1,0,0,0,1,2,0,False,True,False
9620,3,1,1,1,0,1,0,0,2,1,True,False,False
9166,2,1,1,1,0,1,0,1,2,0,False,True,False
2160,3,1,2,0,0,1,0,0,0,0,False,True,False
6050,3,1,1,1,0,1,0,0,0,1,False,True,False
9000,4,2,4,1,1,0,0,1,1,1,True,False,False
5320,3,1,2,1,1,1,0,0,0,1,False,True,False
